"annotation_id"	"annotator"	"assigned"	"cause"	"cost-push-time"	"cost-time"	"counter-narrative"	"created_at"	"demand-time"	"effect"	"expect-time"	"fiscal-time"	"govt-time"	"id"	"international-time"	"lead_time"	"monetary-time"	"narrative-type"	"other-cause-time"	"other-effect-time"	"purchase-time"	"rates-time"	"redistribution-time"	"savings-time"	"social-time"	"supply-time"	"temporality"	"text"	"trade-time"	"uncertain-time"	"updated_at"	"wage-time"
227	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T19:17:09.292751Z"	""	"purchase"	""	""	""	2385229	""	315.61199999999997	""	"{""choices"":[""effect"",""foreign""]}"	""	""	"present"	""	""	""	""	""	"present"	"The workers have been demanding better wages since inflation has been so high recently , "" said Kalpona Akter , executive director of the Bangladesh Centre for Worker Solidarity to the Guardian . """	""	""	"2024-01-25T19:20:24.141707Z"	""
228	"1"	"mh"	"{""choices"":[""supply"",""wage"",""past""]}"	""	""	"counter_narrative"	"2024-01-25T19:22:52.273907Z"	""	""	""	""	""	8535774	""	224.83499999999998	""	"{""choices"":[""cause"",""foreign""]}"	""	""	""	""	""	""	""	"past"	"present"	"In Germany , unemployment fell by 16,000 and wages grew during April , but harmonized inflation fell into negative territory , down 0.3% monthly basis , and by 0.1% compared to a year before ."	""	""	"2024-01-25T19:22:52.273933Z"	"past"
229	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:01:34.494799Z"	""	""	""	""	""	86814317	""	13.316	""	"none"	""	""	""	""	""	""	""	""	""	"The average forecast for IPCA consumer price inflation at the end of this year rose to 3.8% from 3.6% , according to the latest weekly ' FOCUS ' survey of over 100 economists ."	""	""	"2024-01-25T20:01:34.494818Z"	""
230	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:02:00.654210Z"	""	""	""	""	""	9414437	""	8.867	""	"none"	""	""	""	""	""	""	""	""	""	"Ronaldo 's arrogance feels different from the almost comical inflation of Zlatan Ibrahimovic , for instance ."	""	""	"2024-01-25T20:02:00.654238Z"	""
231	"1"	"mh"	"monetary"	""	""	"normal-narrative"	"2024-01-25T20:06:50.426749Z"	""	""	""	""	""	31784146	""	275.71	"future"	"cause"	""	""	""	""	""	""	""	""	"future"	""" I think that the low-inflation paradigm that we are in will most likely end when a ) real interest rate returns are pushed so low that investors holding the debt wo n't want to hold it and will start to move to something they think is better and b ) simultaneously , the large need for money to fund liabilities will contribute to the ' big squeeze , "" he wrote ."	""	""	"2024-01-25T20:06:50.426767Z"	""
232	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:07:36.888379Z"	""	""	""	""	""	31980112	""	9.787	""	"none"	""	""	""	""	""	""	""	""	""	"The film was the highest-grossing movie of all time , adjusted for inflation , but its depiction of contented slaves and heroic slaveholders has garnered criticism in recent years ."	""	""	"2024-01-25T20:07:36.888398Z"	""
233	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:08:38.026453Z"	""	"savings"	""	""	""	3673978	""	60.656	""	"effect"	""	""	""	""	""	"present"	""	""	"present"	"Indeed , after inflation and taxes , real rates on those instruments are negative ."	""	""	"2024-01-25T20:08:38.026486Z"	""
234	"1"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:14:00.713142Z"	""	"{""choices"":[""purchase"",""govt"",""future""]}"	""	""	"future"	26308487	""	148.301	""	"effect"	""	""	"future"	""	""	""	""	""	"future"	"If the rail authority misses its 2033 target , inflation will likely raise the project 's pricetag by as much as $2 billion a year ."	""	""	"2024-01-25T20:14:00.713165Z"	""
235	"8"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:15:20.374808Z"	""	""	""	""	""	2047917	""	5.428	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation was running at 5.85% through mid-December , higher than the government 's 4.5% target ."	""	""	"2024-01-25T20:15:20.374830Z"	""
236	"8"	"mh"	""	""	""	"normal-narrative"	"2024-01-25T20:16:14.783756Z"	""	""	""	""	""	14535073	""	30.875	""	"none"	""	""	""	""	""	""	""	""	""	"Inflation of Kilauea 's summit reservoir increases the chance of magma intruding into the volcano 's south caldera or upper rift zones ."	""	""	"2024-01-25T20:16:14.783787Z"	""
