text,human,model,pred_a,pred_b,order
"In the first instance, accelerating inflation has driven the replacement cost of capital, in its physical sense, to substantially above the capital consumption allowances chargeable against historical cost.",['savings'],['cost-push'],['cost-push'],['savings'],"('model', 'human')"
"""Congress' action was part of a general response to inflation....",['govt'],[],['govt'],[],"('human', 'model')"
DRUM CORPS NOTES Inflation woes hit contest sponsor groups By Herb Cole Contest sponsors will have to bear an even greater brunt of inflation.,[],['cost-push'],['cost-push'],[],"('model', 'human')"
"COMMENTS: ""Inflation already whipped me and wiped me out""...",['social'],[],[],['social'],"('model', 'human')"
One of our best hedges against inflation is vacant land.,['savings'],[],['savings'],[],"('human', 'model')"
"When you've done the best you can with this ""thought transference,"" transference,""set about demonstrating the qualities you, as a lender, have emphasized emphasized as significant. phase of business downturn and steep Inflation, will seek some ""insurance""""insurance""to protect his money In the event your enterprise falters and possibly goes under.",['redistribution'],['uncertain'],['uncertain'],['redistribution'],"('model', 'human')"
"He blames the slide of the dollar in recent months more on ""a lack of confidence in the United States, especially concerning the energy policy, trade deficit and inflation.",['purchase'],[],['purchase'],[],"('human', 'model')"
"Keesler said ""None of its knows how I warm the cold war will get,,but we do know that in the past 10 years of that war, both economic and social problems here have increased and inflation has been speeded up.",['supply'],['social'],['social'],['supply'],"('model', 'human')"
"Newspaper articles over the years have pointed up various problems in providing public housing here-locations, inflation, waiting lists and grow- ing tenant dissatisfaction-all grimly familiar to housing authorities in most big urban areas.",['cost'],[],[],['cost'],"('model', 'human')"
He certainly played a leading leading part in causing the administration to concentrate too long and too hard on inflation inflation while the avalanche of recession was making up.,['govt'],['demand'],['govt'],['demand'],"('human', 'model')"
"""You no longer can count on being rescued from investment mistakes by, general price inflation.""",['savings'],[],['savings'],[],"('human', 'model')"
"In an address before the Business Council, Ford said he is ""deeply concerned"" about ""three domestic devils inflation, recession and energy.""",['social'],[],['social'],[],"('human', 'model')"
"""To cushion workers against the effects effects of inflation, unions are expected to demand not only 'normal' wage increases, increases, but also catch-up wage boosts and escalator clauses in their contracts;"" contracts;""the board said in a summary of the Forum survey findings used for the 1976 forecast.",['cost'],['wage'],['cost'],['wage'],"('human', 'model')"
"On top of that are rising costs for a variety of things, ranging from pay increases to state workers under existing collective bargaining agreements to the prospect of higher fuel bills for heating state buildings, not to mention inflation in general and an uncertain national economy.",['cost'],['wage'],['cost'],['wage'],"('human', 'model')"
"But the lower rate could lead to new inflation as the prices of imported food, fuel and raw materials materials rise.. r Britain's new prime minister will face a dismaying dismaying array of problems, of which Jthe economy is but one: a fierce ideological rift in the party he will lead; the ever-present threat of renewed industrial strife; a virtual civil war in Northern Ireland along with a resurgence of nationalism in Scotland and Wales; uncertainty..about Britain's role in the European Community.",['monetary'],['international'],['monetary'],['international'],"('human', 'model')"
Stanley W. Black said high inflation would jrobably forestall recovery until 1981.,['cost'],['other-effect'],['cost'],['other-effect'],"('human', 'model')"
"Gary Hart (D-Colo.) said adjusting individual in- come taxes for inflation ""would end the federal govern- ment s tax windfall.""",['cost'],[],[],['cost'],"('model', 'human')"
"""High rates of inflation affect more people than unem- ployment,"" he said.",['cost'],['social'],['cost'],['social'],"('human', 'model')"
"""It is time for the Congress to demonstrate its commitment to the battle against inflation.""",['govt'],[],['govt'],[],"('human', 'model')"
"At that time and contiruing beyond Mr. Kennedy's inauguration, the country tsnll begin to learn what courses of action he will take that have a bearing on Inflation, defense spending, Government welfare programs and foreign relations.""",['fiscal'],[],['fiscal'],[],"('human', 'model')"
"Too late, bank officials discovered that the German 100,000-mark note Holcomb had given them was completely worthless, printed during the peak of Germany's post-World War I inflation.",['purchase'],[],['purchase'],[],"('human', 'model')"
"Magazine's associate editor Richard Barnett said replica of 78-year-old car has four horsepower horsepower engine and 26-inch bicycle bicycle tires and gets 75 m.p.g. Parts sold for around $650 in 1960, so you can count on inflation inflation raising that quite a bit.",[],['purchase'],[],['purchase'],"('human', 'model')"
Fukuda Asks Moves to Save Dollar's Value By Hobart Rowen Washington Post Staff Writer Japanese Prime Minister Takeo Fukuda began a two-day summit session here yesterday morning by telling six Carter administration cabinet officers that they must succeed in controlling inflation and reducing energy consumption to protect the value of the dollar.,['purchase'],['other-cause'],['other-cause'],['purchase'],"('model', 'human')"
"As Step 2, Heller proposes a reduction in the personal income tax, but only for wage- earners whose pay increases do not exceed the Administration's anti-inflation guidelines.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
"Other assets were difficult; and so they turned to gold, even at prices that now bear no relation to its useful value or to its value as a hedge against likely inflation.",['savings'],[],['savings'],[],"('human', 'model')"
The picketing and boycotting of chain supermarkets by housewives as a protest against inflation must be set down as one of the ironies of these confused times.,['social'],[],[],['social'],"('model', 'human')"
"THE INFLATION FIGHTER II 1 994-7700 NtrMmtst Suburtin Sil 5231 OPEN 2 to 4:00 ""l ACRE PLUS 5 rooms, 3 bedrooms.",['other-effect'],[],[],['other-effect'],"('model', 'human')"
PLUS FREIGHT INCLUDES FREIGHT J $6160.36 Annual Percentage Rate 9.67 Plus applicable taxes. w y y I i w 1 1 n i INFLATION FIGHTER SfiVE $400 TO $700 OVER CURRENT liITEREST RATES JU.0RE u I iy Li 02 PER MONTH Or AV V MONTHS PLUS FREIGHT INCLUDES FREIGHT Sale Price $3999 10 Down Payment $426 Balance to Finance $3841 Finance charge $806.36 Total note $4647.36 Deferred Payment v rice $5073.36 Annual Percentage Rate v.6 kius appiicaoie taxes. 5 BRAND NEW PT0 PONY This offer is good on all new cars and trucks in: stock.,['savings'],[],['savings'],[],"('human', 'model')"
"-A $5.1 million reduction in proposed construction and expan- sion projects, the result of which would be to ultimately cost the DWP more in the future because of inflation.",[],['cost'],[],['cost'],"('human', 'model')"
The public is quite right in demanding a reduction in both unemployment and inflation and in not allowing the would-be Presidents to duck the question.,['social'],[],[],['social'],"('model', 'human')"
"It tells you why silver has grown 147 in 12 months, it itemizes its vast uses, it offers some sound suggestions on beating inflation, and it lets you know why the projections projections for silver are higher than ever.",['savings'],[],['savings'],[],"('human', 'model')"
"The outgoing president, Franco Modigliani of the Massachusetts Institute of Technology, charged that the recent steep recession was a result of the Federal Reserve Board's refusal to let the money supply expand to accommodate the sudden and ""unavoidable"" inflation resulting from the energy and food crises.",['rates'],['supply'],['supply'],['rates'],"('model', 'human')"
"It said 48% of 1,111 re- voters surveyed by tele- phone cited inflation as their chief worry while 21% cited energy prob- lems.",['social'],[],['social'],[],"('human', 'model')"
"He said national security was threat--. ened by inflation resulting from oil import costs as well as ""by the unchecked and wasteful nuclear arms race.""",['supply'],['international'],['supply'],['international'],"('human', 'model')"
"Administration economists forecast only a controlled and welcome slowdown, while most private ones foresaw worse-continued inflation and rising unemployment.",[],['uncertain'],['uncertain'],[],"('model', 'human')"
"YOU'LL FIND THE CONVENIENCE Of disposals, dishwashen extra Irg bedrooms & 1 ', baths. 1 & 2 Bedrooms from $160-$190 FAMILIES WELCOME 1328 E. Lake St. THONE PES. MGR. 938-5575 HOPKINS FIGHT INFLATION All Rents Slashed Reduced to $135 & up.",['other-effect'],[],['other-effect'],[],"('human', 'model')"
Government economists said higher costs for buildings and houses forced them to increase the inflation figures for the second quarter.,[],['supply'],[],['supply'],"('human', 'model')"
"Since most toll roads receive neither state nor federal funds, they must finance soaring maintenance costs and expansion programs out of their own annual revenues or by issuing bonds in a bond market demoralized by inflation.",['savings'],['cost-push'],['cost-push'],['savings'],"('model', 'human')"
"Since stock prices went up and peo- ple thought there was inflation, they may have made an erro- n e o u s connection, Sprinkel says.",['savings'],[],['savings'],[],"('human', 'model')"
The risks of prolonging the recession are not as horrible as the risks of another bout of accelerating inflation - followed by an even worse recession.,['cost'],[],[],['cost'],"('model', 'human')"
"The interviewing interviewing was done October 19-23, before Mr. Carter announced his anti-Inflation anti-Inflation plan.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
SILVER BULLION From Liberty Metals Financial protection against worsening worsening Inflation from a company with lofty Ideas about why you deserve an edge of our deleriorating economy.,['savings'],[],['savings'],[],"('human', 'model')"
"No Cause For Fear Recession and inflation have combined to take their toll on the Social Security system, as they have on almost everything else, with the result that in the next fiscal year expenditures will exceed income by about 3 billion dollars.",['cost'],['social'],['cost'],['social'],"('human', 'model')"
"The British specialty car maker. headed by American Kjell Qvale, said it decided on the move because of la- bor problems and rampant inflation.",[],['wage'],[],['wage'],"('human', 'model')"
"To some analysts, the wheel-spinning Carter did in his first two years in office only made inflation more difficult to deal with.",['fiscal'],[],['fiscal'],[],"('human', 'model')"
"""But what really happened was that the economy, foreign poli- cy, inflation, unemployment and Iran-those were the things people were voting on.",['social'],[],['social'],[],"('human', 'model')"
"Opposition parties have prepared for the elections by forming an informal coalition to concentrate on strong common candidates, and they are geared to emphasize the bread-andbutter issues of inflation.",['social'],[],['social'],[],"('human', 'model')"
"It is not a problem inherent in black culture, but affects blacks more because they are more often the victims of inflation, inadequate educational opportunities, unemployment and under-employment.",['redistribution'],[],[],['redistribution'],"('model', 'human')"
"Frightened by of relentless inflation and the Federal Reserve's credit-tightening move last Friday, the bond market plunged.",['monetary'],[],['monetary'],[],"('human', 'model')"
State officials said the increases were needed because of inflation.,['govt'],['cost'],['cost'],['govt'],"('model', 'human')"
"Secretary of the Treasington visit and, according to ury William E. Simon, highly placed German aide, ing to reports reaching here said that he had the impres- from Washington, may resign sion that President Ford would if there is a major switch in announce ""a whole series of on fighting inflation. measures to stimulate the Unit- A communique, issued as the ed States economy"" in his State Common Market summit the Union message next ing ended, said that Europeans month. had agreed to coordinate.",['govt'],[],[],['govt'],"('model', 'human')"
The miners foave been bought off with a pay increase of more than 20 nearly three times the figure laid down in the government's anti-inflation strategy.,['fiscal'],[],[],['fiscal'],"('model', 'human')"
